Soviet Union,Germany,Yugoslavia,Czechoslovakia
Soviet Union,Germany,Yugoslavia,Czechoslovakia
Russia,West Germany,Serbia and Montenegro,Czech Republic
Ukraine,East Germany,Croatia,Slovakia
Belarus,,Slovenia,
Uzbekistan,,Kosovo,
Kazakhstan,,Macedonia,
Georgia,,Serbia,
Azerbaijan,,Montenegro,
Lithuania,,,
Moldova,,,
Latvia,,,
Kyrgyzstan,,,
Tajikistan,,,
Armenia,,,
Turkmenistan,,,
Estonia,,,
